,Vote,Country,Name,First,Second,Third
101,Captain,Nicaragua,Rosas Manuel,Cristiano Ronaldo,Modric Luka,Buffon Gianluigi
102,Captain,Nigeria,Obi John Mikel,Messi Lionel,Cristiano Ronaldo,Buffon Gianluigi
103,Captain,Northern Ireland,Davis Steven,Cristiano Ronaldo,Messi Lionel,Modric Luka
104,Captain,Norway,Johansen Stefan,Cristiano Ronaldo,Marcelo,Modric Luka
105,Captain,Oman,Ahmed Al Mahaijri,Cristiano Ronaldo,Messi Lionel,Kroos Toni
106,Captain,Pakistan,Hussain Saddam,Cristiano Ronaldo,Messi Lionel,Ramos Sergio
107,Captain,Palestine,Albhdari Abdellatif,Buffon Gianluigi,Cristiano Ronaldo,Iniesta Andrés
108,Captain,Papua New Guinea,Michael Foster,Messi Lionel,Iniesta Andrés,Kroos Toni
109,Captain,Peru,Guerrero Gonzales Paolo,Messi Lionel,Cristiano Ronaldo,Buffon Gianluigi
110,Captain,Poland,Lewandowski Robert,Neuer Manuel,Vidal Arturo,Cristiano Ronaldo
111,Captain,Portugal,Ronaldo Cristiano,Modric Luka,Ramos Sergio,Marcelo
112,Captain,Qatar,Alhaydous Hasan,Cristiano Ronaldo,Neymar,Buffon Gianluigi
113,Captain,Republic of Ireland,Coleman Seamus,Cristiano Ronaldo,Messi Lionel,Dybala Paulo
114,Captain,Romania,Chiriches Vlad,Cristiano Ronaldo,Neymar,Marcelo
115,Captain,Russia,Akinfeev Igor,Cristiano Ronaldo,Vidal Arturo,Buffon Gianluigi
116,Captain,Samoa,Desmond Faaiuaso,Cristiano Ronaldo,Griezmann Antoine,Buffon Gianluigi
117,Captain,San Marino,Simoncini Aldo Junior,Cristiano Ronaldo,Buffon Gianluigi,Navas Keylor
118,Captain,Saudi Arabia,Hawsawi Osama,Cristiano Ronaldo,Neymar,Messi Lionel
119,Captain,Scotland,Brown Scott,Cristiano Ronaldo,Messi Lionel,Neymar
120,Captain,Serbia,Ivanovic Branislav,Cristiano Ronaldo,Messi Lionel,Neymar
121,Captain,Sierra Leone,Bangura Umaru,Messi Lionel,Cristiano Ronaldo,Marcelo
122,Captain,Singapore,Ishak Shahril,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
123,Captain,Slovakia,Skrtel Martin,Cristiano Ronaldo,Suárez Luis,Ramos Sergio
124,Captain,Slovenia,Cesar Boštjan,Cristiano Ronaldo,Buffon Gianluigi,Neymar
